KW,cold,hot,KW,cold,hot
13094.4,6757.640845,2582.352941,13094.4,6757.640845,2582.352941
12131.67,6786.93662,2550,12131.67,6786.93662,2550
12309.2,7078.06338,2285.294118,12309.2,7078.06338,2285.294118
12571.08,7299.859155,2211.764706,12571.08,7299.859155,2211.764706
12725.65,8239.823944,1991.176471,12725.65,8239.823944,1991.176471
13118.92,9749.577465,1870.588235,13118.92,9749.577465,1870.588235
13251.67,10405.80986,1879.411765,13251.67,10405.80986,1879.411765
13468.8,11450.24648,1811.764706,13468.8,11450.24648,1811.764706
14413.65,12301.33803,1864.705882,14413.65,12301.33803,1864.705882
14236.63,12407.25352,1805.882353,14236.63,12407.25352,1805.882353
13398.65,11127.53521,1894.117647,13398.65,11127.53521,1894.117647
13041.95,9789.823944,2032.352941,13041.95,9789.823944,2032.352941
12896.17,9301.443662,2132.352941,12896.17,9301.443662,2132.352941
12757.53,8582.992958,2138.235294,12757.53,8582.992958,2138.235294
12306.8,7738.838028,2241.176471,12306.8,7738.838028,2241.176471
12003.08,7261.901408,2164.705882,12003.08,7261.901408,2164.705882
11018.15,6526.232394,2120.588235,11018.15,6526.232394,2120.588235
10795.27,5709.014085,2173.529412,10795.27,5709.014085,2173.529412
10881.1,5712.077465,2135.294118,10881.1,5712.077465,2135.294118
11683.5,6137.711268,2185.294118,11683.5,6137.711268,2185.294118
11007.6,6013.133803,2232.352941,11007.6,6013.133803,2232.352941
10796.8,5616.514085,2326.470588,10796.8,5616.514085,2326.470588
11493.5,5669.366197,2411.764706,11493.5,5669.366197,2411.764706
12456.17,6606.93662,2535.294118,12456.17,6606.93662,2535.294118
12441.37,6432.676056,2600,12441.37,6432.676056,2600
12252.63,6629.647887,2544.117647,12252.63,6629.647887,2544.117647
12208.95,7317.992958,2052.941176,12208.95,7317.992958,2052.941176
12691.35,8983.978873,2005.882353,12691.35,8983.978873,2005.882353
13271.9,10717.28873,1897.058824,13271.9,10717.28873,1897.058824
13714.53,11954.29577,1920.588235,13714.53,11954.29577,1920.588235
14181.73,13248.4507,1879.411765,14181.73,13248.4507,1879.411765
15819.95,15150.21127,1791.176471,15819.95,15150.21127,1791.176471
15521.67,15893.02817,1788.235294,15521.67,15893.02817,1788.235294
14734.05,15132.25352,1791.176471,14734.05,15132.25352,1791.176471
14496.57,14409.78873,1882.352941,14496.57,14409.78873,1882.352941
14514.45,12935.42254,2097.058824,14514.45,12935.42254,2097.058824
13578.85,11716.40845,2276.470588,13578.85,11716.40845,2276.470588
13173.55,10029.54225,2197.058824,13173.55,10029.54225,2197.058824
12744.8,9087.676056,2323.529412,12744.8,9087.676056,2323.529412
12515.63,8672.042254,2238.235294,12515.63,8672.042254,2238.235294
12059.52,8157.429577,2211.764706,12059.52,8157.429577,2211.764706
12282,7830.528169,2170.588235,12282,7830.528169,2170.588235
12216.3,7816.690141,2191.176471,12216.3,7816.690141,2191.176471
12125.05,7524.964789,2282.352941,12125.05,7524.964789,2282.352941
12022.2,7120.669014,2311.764706,12022.2,7120.669014,2311.764706
12248.5,7304.788732,2432.352941,12248.5,7304.788732,2432.352941
12204.48,7934.15493,2602.941176,12204.48,7934.15493,2602.941176
12884,8299.71831,2767.647059,12884,8299.71831,2767.647059
13480.67,7874.753521,2782.352941,13480.67,7874.753521,2782.352941
13371.5,9116.901408,2697.058824,13371.5,9116.901408,2697.058824
13682.15,10120.24648,2382.352941,13682.15,10120.24648,2382.352941
14269.15,11903.41549,2270.588235,14269.15,11903.41549,2270.588235
14496.6,13754.89437,2147.058824,14496.6,13754.89437,2147.058824
14681.9,15158.27465,2061.764706,14681.9,15158.27465,2061.764706
14799.5,16031.40845,1979.411765,14799.5,16031.40845,1979.411765
14648.7,16846.51408,1964.705882,14648.7,16846.51408,1964.705882
15512.98,17726.26761,1938.235294,15512.98,17726.26761,1938.235294
15225.5,17549.11972,1958.823529,15225.5,17549.11972,1958.823529
14899.7,16075.59859,2135.294118,14899.7,16075.59859,2135.294118
14501.6,14193.30986,2379.411765,14501.6,14193.30986,2379.411765
14481.92,13145.9507,2364.705882,14481.92,13145.9507,2364.705882
14641.85,11797.21831,2338.235294,14641.85,11797.21831,2338.235294
14828.55,11070.28169,2250,14828.55,11070.28169,2250
15474.65,9509.859155,2250,15474.65,9509.859155,2250
15115.65,8869.084507,2238.235294,15115.65,8869.084507,2238.235294
15681.15,8790.316901,2147.058824,15681.15,8790.316901,2147.058824
14633.22,7930.246479,2164.705882,14633.22,7930.246479,2164.705882
14408.8,7558.978873,2217.647059,14408.8,7558.978873,2217.647059
13964.4,7346.126761,2332.352941,13964.4,7346.126761,2332.352941
14712.6,7397.992958,2405.882353,14712.6,7397.992958,2405.882353
15377.08,7993.415493,2629.411765,15377.08,7993.415493,2629.411765
14932.53,8378.978873,2711.764706,14932.53,8378.978873,2711.764706
14036.67,8009.43662,2870.588235,14036.67,8009.43662,2870.588235
14141.7,8313.873239,2732.352941,14141.7,8313.873239,2732.352941
14496.3,9030.492958,2467.647059,14496.3,9030.492958,2467.647059
14583.63,10772.53521,2267.647059,14583.63,10772.53521,2267.647059
14457.65,12654.82394,2182.352941,14457.65,12654.82394,2182.352941
14731.13,14101.37324,2108.823529,14731.13,14101.37324,2108.823529
14834.13,15502.85211,2005.882353,14834.13,15502.85211,2005.882353
14795.63,16515.6338,1944.117647,14795.63,16515.6338,1944.117647
14545,16981.65493,1926.470588,14545,16981.65493,1926.470588
14542.47,16431.93662,2044.117647,14542.47,16431.93662,2044.117647
15394.67,16078.59155,2117.647059,15394.67,16078.59155,2117.647059
13869.55,14055.03521,2247.058824,13869.55,14055.03521,2247.058824
13529.45,12405.59859,2305.882353,13529.45,12405.59859,2305.882353
13057.88,11267.00704,2238.235294,13057.88,11267.00704,2238.235294
14077.05,9520.704225,2329.411765,14077.05,9520.704225,2329.411765
16026.88,8356.091549,2294.117647,16026.88,8356.091549,2294.117647
15593.6,7449.823944,2217.647059,15593.6,7449.823944,2217.647059
15198.55,6927.605634,2264.705882,15198.55,6927.605634,2264.705882
15024.2,6439.049296,2173.529412,15024.2,6439.049296,2173.529412
15061.83,7327.147887,2211.764706,15061.83,7327.147887,2211.764706
14671.23,7043.06338,2335.294118,14671.23,7043.06338,2335.294118
13790.43,7246.267606,2297.058824,13790.43,7246.267606,2297.058824
13909.7,7497.816901,2638.235294,13909.7,7497.816901,2638.235294
14039.98,7753.661972,2673.529412,14039.98,7753.661972,2673.529412
13592.38,7892.007042,2823.529412,13592.38,7892.007042,2823.529412
13908.63,7789.295775,2832.352941,13908.63,7789.295775,2832.352941
14157.33,8453.309859,2391.176471,14157.33,8453.309859,2391.176471
14697.98,9719.612676,2302.941176,14697.98,9719.612676,2302.941176
14921.25,11100.80986,2094.117647,14921.25,11100.80986,2094.117647
14815.2,12262.8169,2097.058824,14815.2,12262.8169,2097.058824
14494.5,13043.73239,2011.764706,14494.5,13043.73239,2011.764706
14443.5,14125.66901,2055.882353,14443.5,14125.66901,2055.882353
14491.2,15593.66197,1900,14491.2,15593.66197,1900
14298.35,15578.52113,1970.588235,14298.35,15578.52113,1970.588235
13901.77,14634.47183,2182.352941,13901.77,14634.47183,2182.352941
13710.72,12900.80986,2311.764706,13710.72,12900.80986,2311.764706
13348.2,11753.41549,2350,13348.2,11753.41549,2350
13304.72,10663.59155,2335.294118,13304.72,10663.59155,2335.294118
14015.03,9251.161972,2347.058824,14015.03,9251.161972,2347.058824
15861.33,8905.176056,2300,15861.33,8905.176056,2300
15457.47,8467.992958,2232.352941,15457.47,8467.992958,2232.352941
15380.55,7465.070423,2135.294118,15380.55,7465.070423,2135.294118
15240.7,6922.887324,2229.411765,15240.7,6922.887324,2229.411765
15137.23,6633.34507,2179.411765,15137.23,6633.34507,2179.411765
14854.88,6333.943662,2261.764706,14854.88,6333.943662,2261.764706
14117.6,6394.260563,2385.294118,14117.6,6394.260563,2385.294118
13067.55,6417.5,2591.176471,13067.55,6417.5,2591.176471
13604.2,6908.591549,2873.529412,13604.2,6908.591549,2873.529412
14083.88,6925.176056,3294.117647,14083.88,6925.176056,3294.117647
14003.55,7059.612676,3420.588235,14003.55,7059.612676,3420.588235
13746.83,7242.323944,2961.764706,13746.83,7242.323944,2961.764706
14136.4,8311.126761,2764.705882,14136.4,8311.126761,2764.705882
14329.58,10319.40141,2573.529412,14329.58,10319.40141,2573.529412
14671.52,12206.83099,2467.647059,14671.52,12206.83099,2467.647059
14788.88,14421.30282,2370.588235,14788.88,14421.30282,2370.588235
14708.55,15482.85211,2308.823529,14708.55,15482.85211,2308.823529
14666.88,16368.20423,2305.882353,14666.88,16368.20423,2305.882353
14503.58,16297.53521,2335.294118,14503.58,16297.53521,2335.294118
14131.13,15327.28873,2411.764706,14131.13,15327.28873,2411.764706
